name,category,rate,price,time
"Notre-Dame, Île de la Cité & St. Severin Private Family Tour",Private tour,"
      4.6
    ","376,157 per group up to 1",2 hours
The Perfect Christmas Dinner: 3.5-Hour Cooking Class,Workshop or class,"
      5.0
    ","240,741 per person",3.5 hours
Paris: Escape Tour - Self-Guided Citygame,Other experience,"
      4.0
    ","45,064 per group up to 4",2 hours
From Paris: Versailles Guided Tour with Skip-the-Line Ticket,Guided tour,"
      4.0
    ","216,667 per person",4 hours
Paris: Explore with a Treasure Hunt on Non-Electric Scooters,Private tour,0,"60,185 per person",2.5 hours
Paris: Private La Défense Walking Tour,Private tour,"
      5.0
    ","224,942 per person",2 hours
Paris Picasso Museum 2-Hour Private Small-Group Tour,Private tour,"
      4.8
    ","451,389 per person",2 hours
The Champs-Elysées: A Self-Guided Audio Tour,Other experience,0,"12,478 per person",1.5 hours
Paris: Self-Guided Mobile Audio Tour of Coco Chanel's Paris,Other experience,0,"9,702 per person",30 minutes
Haussmannian Paris 2-Hour Private Walking Tour,Private tour,"
      4.5
    ","225,694 per person",2 hours
From Paris: Private Day Trip to Giverny and Auvers sur Oise,Private tour,0,"1,339,120 per group up to 8",9 hours
Paris: Montmartre 2-Hour Walking Tour,Guided tour,"
      4.5
    ","37,616 per person",2 hours
Paris: Special Dates Dinner Cruise,Water activity,"
      3.1
    ","255,787 per person",2 hours
Paris: Eiffel Tower Self-Guided Audio Tour,Other experience,0,"12,478 per person",45 minutes
Paris: Bus Toqué Tour with 3-Course Dinner and Champagne,Guided tour,"
      4.3
    ","150,463 per person",1.5 hours
Paris: Photoshoot at Montmartre,Private tour,"
      4.7
    ","82,755 per group up to 1",30 - 45 minutes
Paris: Crêpes and Eiffel Tower Private Highlights Tour,Private tour,"
      5.0
    ","157,986 per person",6 hours
Footsteps of the French Chef Tour,Guided tour,0,"161,296 per person",3 hours
French Wine Tasting Class with a Sommelier,Guided tour,0,"100,810 per person",2 hours
Paris: Evening Bike and Boat Tour,Bundle,"
      4.7
    ","75,231 per person",4 hours
Paris: Private Dark Chocolate Tasting,Private tour,0,"263,310 per person",2 hours
Paris: Private Layover Tour,Private tour,"
      5.0
    ","631,944 per group up to 4",4 hours
Paris: Private Professional Photo Shoot,Private tour,"
      4.5
    ","344,560 per group up to 4",30 minutes
Paris: 7th Arrondissement Guided Food Tour,Guided tour,0,"103,819 per person",2 hours
Paris: Rodin Museum Visit,Private tour,"
      5.0
    ","300,926 per person",2 hours
Paris: Paradox Museum Entrance Tickets,Entry ticket,0,"40,625 per person",1.5 hours
Paris: Latin Quarter Walking Tour with Wine Tastings,Guided tour,"
      5.0
    ","142,940 per person",4.5 hours
Paris: Louvre Museum Ticket and Bus Tour with Audio guide,Bundle,"
      5.0
    ","102,315 per person",1 day
Paris: 3-Hour Private Champs Élysées to Montmartre Tour,Private tour,"
      4.8
    ","207,992 per person",3 hours
Private Wine and Chocolate Tasting Experience,Private tour,0,"239,236 per person",2 hours
"Paris: Guided Tour with Louvre Entry Ticket, Cruise & Drink",Day trip,0,"156,361 per person",6.5 hours
Inspiring Paris Walking Tour for Couples,Private tour,0,"886,226 per group up to 4",2 hours
New Year's Eve Seine Cruise and Dinner in Paris,Water activity,"
      2.8
    ","526,620 per person",2.5 hours
Versailles: Skip-the-Line Entrance and Premium Lunch at Ore,Entry ticket,0,"185,069 per person",1 day
"Paris Bike Tour: Eiffel Tower, Place de la Concorde & More",Guided tour,"
      4.7
    ","58,681 per person",3.5 hours
Paris: Explore Île de la Cité with a Local,Private tour,"
      4.0
    ","155,994 per person",3 hours
Paris: City Treasure Hunt by Electric Scooter,Private tour,0,"88,773 per person",2.5 hours
Boutiques and Patisseries: Book a Local in Paris,Private tour,"
      4.5
    ","142,995 per person",3 hours
Paris: Bar Crawl for Solo Travelers,Guided tour,0,"37,616 per person",2 hours
Paris: Private Photoshoot with 25 Edited Photos,Private tour,0,"443,866 per group up to 5",1 hour
"Drinking ""The New Paris"" Walking Tour with Lindsey Tramuta",Guided tour,"
      5.0
    ","148,958 per person",3 hours
Private Day Tour to Loire Valley Castles & Wines from Paris,Private tour,"
      4.5
    ","2,303,873 per group up to 1",1 day
From Paris: Private Versailles Half-Day Private Tour,Private tour,0,"898,263 per person",5 hours
Tuileries Garden's Classic Sights: A Self-Guided Audio Tour,Other experience,0,"12,478 per person",1 hour
Parisian Deluxe Wine Tasting Experience,Workshop or class,"
      4.0
    ","254,282 per person",2 hours
Paris: Food Bike Tour with a Guide,Guided tour,0,"58,681 per person",3.5 hours
Unexpected Paris - Marais disctrict: 2-Hour Private Tour,Private tour,"
      3.8
    ","224,942 per person",2 hours
Fontainebleau Castle Half-Day Tour,Private tour,"
      4.2
    ","1,059,259 per group up to 2",4.5 hours
Paris: Montmartre Urban Adventure City Exploration Game,Other experience,0,"25,999 per person",3 hours
Explore Batignolles: Bohemian and Artsy Paris Tour,Private tour,0,"155,994 per person",3 hours
From Paris: Small-Group Tour of Loire Castles,Private tour,"
      4.6
    ","3,611,109 per group up to 8",12 hours
Instagrammable Paris: Snapshots of the City,Private tour,"
      4.0
    ","103,996 per person",3 hours
Christmas Exploration of Paris Walking Tour,Private tour,0,"1,036,689 per group up to 4",2 hours
Notre Dame Tour with a Small Group,Guided tour,"
      4.9
    ","150,463 per person",1.5 hours
Paris : Outdoor Escape Game Robbery At The Casa,Other experience,0,"103,819 per group up to 6",3 hours
Paris: Bachelor Party Scavenger Hunt Mobile Game,Other experience,0,"103,819 per group up to 6",3 hours
Paris: 2.5-Hour Guided Vintage Car Tour and Wine Tasting,Guided tour,"
      3.9
    ","194,097 per person",2.5 hours
Mont Saint-Michel & Chateaux Country 3-Day Tour from Paris,Multi-day trip,"
      4.3
    ","978,009 per person",2.5 - 3 days
Paris: Aquarium Entry Ticket & Self-Guided Eiffel Tower Tour,Other experience,0,"41,287 per person",1 day
Paris: Murder Mystery City Exploration Game,Day trip,0,"57,020 per group up to 6",1 day
Versailles: Marie Antoinette's Trianon & Palace Guided Tour,Guided tour,0,"224,190 per person",2 hours
Paris: Parc Montsouris and 14th Arrondissement Audio Tour,Other experience,0,"11,090 per person",1.5 hours
Lifestyle Tour Around the Louvre,Guided tour,"
      5.0
    ","132,407 per person",2.5 hours
Versailles Palace Tour with Food & Wine Tasting,Day trip,"
      5.0
    ","269,329 per person",7 hours
Paris: Funlympics Eiffel Tower Edition,Guided tour,0,"58,681 per person",1 hour
Paris: Gastronomic Private Walking Tour with Food Tastings,Private tour,0,"355,092 per group up to 1",3 hours
"Paris: Private Tour, Seine Cruise & Eiffel Tower 2nd Floor",Bundle,"
      4.1
    ","3,310,183 per group up to 7",4 hours
Paris: Private Food Tour – 10 Tastings with Locals,Private tour,"
      4.1
    ","257,292 per person",3 hours
Paris: Le Marais Semi Private Food Walking Tour,Guided tour,0,"209,143 per person",3 hours
Paris: Seine Cruise and Smartphone Audio Walking Tour,Bundle,"
      4.2
    ","39,256 per person",2 hours
"Paris: Pastries, Cakes, and Sweets Guided Food Tour",Guided tour,0,"180,555 per person",3 hours
Paris Bike Tour: 3 Hours Along the River Seine,Guided tour,"
      4.8
    ","63,194 per person",3 hours
Paris: Night Highlights Guided Walking Tour,Guided tour,0,"120,370 per person",2 hours
Paris: Famous Monuments Cycling Tour,Guided tour,"
      4.9
    ","67,708 per person",3.5 hours
Paris: Montmartre Guided Walking Tour,Adventure,"
      5.0
    ","52,662 per person",2.5 hours
Paris and the Art of Music: 2-Hour Walking Tour,Guided tour,"
      5.0
    ","109,838 per person",2 hours
Bois de Vincennes Segway Tour,Guided tour,"
      5.0
    ","88,773 per person",2.5 hours
Paris: Craft Beer Tasting Walking Tour,Other experience,0,"90,278 per person",1.5 hours
Paris: Funlympics Louvre Museum Edition,Guided tour,0,"58,681 per person",1 hour
Paris: Private Transfer from Charles de Gaulle Airport,Transfer,"
      5.0
    ","203,125 per group up to 2",40 minutes
Paris: Montmartre Self-Guided Scavenger Hunt Walking Tour,Other experience,"
      4.6
    ","13,905 per person",2 hours
Private Christmas tour by night Paris in Citroën 2CV,Private tour,"
      4.8
    ","199,363 per person",1.5 hours
Parc Asterix: Private Transfer to and from Paris,Transfer,"
      5.0
    ","159,461 per group up to 3",50 minutes
Paris: Small-Group Cheese and Wine Tasting in Le Marais,Guided tour,"
      3.0
    ","135,417 per person",2 hours
Paris: Eiffel Tower and Notre Dame Night Tour by E-Bike,Guided tour,"
      4.8
    ","148,958 per person",2 hours
Paris: Wine Tasting Experience with Sommelier,Guided tour,"
      3.0
    ","94,792 per person",1.5 hours
Paris: 1-Way Private Transfer from Orly Airport,Transfer,"
      4.5
    ","118,866 per group up to 3",1 minute
Paris: Curated Wine Tasting Experience,Other experience,0,"133,912 per person",2 hours
Louvre Masterpieces & Royal Palace Private Extended Tour,Private tour,"
      4.8
    ","699,652 per group up to 2",3 hours
Paris: 1-hour Apéro Wine and Cheese Tasting,Guided tour,0,"97,801 per person",1 hour
Good Morning Paris: Breakfast at Market & City Tour,Guided tour,0,"194,097 per person",4 hours
Paris: Walking Tour of Artsy Batignolles,Private tour,0,"166,394 per person",3 hours
Paris: Full-Day Customized Private Walking Tour with a Local,Private tour,0,"653,009 per group up to 2",3.5 hours
Invader Hunt Street Art Tour,Guided tour,0,"60,185 per person",135 minutes
Paris: Private Tour to Montmartre with Eiffel Tower & Lunch,Private tour,"
      5.0
    ","308,449 per person",7 hours
Versailles: Versailles Palace and Garden Private Guided Tour,Private tour,0,"413,021 per person",3 hours
World War I Battlefields & War Museum of Meaux Day Tour,Private tour,"
      5.0
    ","2,082,406 per group up to 2",10 hours
Paris: Le Marais Neighborhood Historical Guided Walk,Guided tour,0,"120,370 per person",2 hours
Paris : visite de Paris à bord de la Citroën DS,Private tour,0,"413,773 per group up to 4",2 - 3 hours
Palace of Versailles: Guided Louis XIV Hidden Palace Tour,Guided tour,0,"209,143 per person",3 hours
Paris Private Full Day Tour - Tickets to Louvre & Lunch,Private tour,"
      5.0
    ","362,616 per person",7.5 hours
Paris: Marais + Covered Passages + Pigalle Walking Tours,Other experience,0,"40,610 per person",3 hours
From Paris: Versailles Guided Private Day Trip by Train,Private tour,0,"561,227 per person",5 hours
Paris: L'Oiseau Paradis Cabaret Show with Lunch and Drinks,Entry ticket,0,"210,648 per person",3.5 hours
Le Marais: Explore Old Paris with a Local Host,Private tour,"
      4.0
    ","207,992 per person",3 hours
Paris: Bachelor(ette) Challenge City Exploration Game,Other experience,0,"22,569 per person",095 days
Paris: Segway Tour,Guided tour,"
      5.0
    ","118,866 per person",2 hours
Paris: Belleville and Le Marais Private Walking Tour,Private tour,"
      3.3
    ","130,903 per person",3 hours
Paris: The Mona Lisa Curse Outdoor Escape Game,Other experience,"
      3.8
    ","12,022 per person",1.5 hours
Paris: E-Tricycle Guided Sightseeing Private Tour,Guided tour,"
      5.0
    ","73,727 per person",1 hour
Invalides War Museum the World Wars Guided Tour,Guided tour,"
      4.7
    ","189,794 per person",2 hours
Paris: Cooking Class with Ferrandi at Galeries Lafayette,Workshop or class,0,"195,602 per person",2 hours
Paris Champs-Élysées 2-Hour Private Walking Tour,Private tour,"
      4.7
    ","225,694 per person",2 hours
Paris: Marais Walks Self-Guided Audio Tour,Other experience,"
      3.2
    ","5,266 per person",2 hours
Paris: History of Crime Smartphone Audio Guide Walking Tour,Other experience,"
      4.4
    ","13,527 per person",1 hour
Louvre and Musée d'Orsay with Reserved Entry Ticket,Bundle,"
      5.0
    ","365,234 per person",5.5 hours
Paris: Breakfast Cruise on the Seine River,Water activity,0,"112,847 per person",1.5 hours
From Paris: Private Bruges Tour,Private tour,0,"1,272,916 per person",12 hours
"Montmartre, Paris: The Locals' Favorite Arrondissement",Guided tour,"
      4.7
    ","155,994 per person",3 hours
Artists in Paris: 3 Smartphone Audio Walking Tours,Other experience,"
      5.0
    ","40,610 per person",3 hours
Paris 6-Hour Private Guided Walking Tour,Private tour,"
      4.3
    ","376,157 per person",6 hours
Paris: Parisian Picnic Cruise with a Glass of Wine,Guided tour,0,"135,417 per person",1.5 hours
Paris Gourmet: Food Tour in South Montmartre,Guided tour,"
      4.2
    ","164,005 per person",3 hours
Private Tour from Paris to Loire Castles & Michelin Lunch,Private tour,0,"2,139,612 per group up to 1",1 day
Paris: Self-Guided Outdoor Escape Game and Tour,Other experience,"
      3.8
    ","9,780 per person",365 days
Paris: Professional Photoshoot with 500+ Photos,Private tour,0,"255,787 per person",1 hour
Paris: Gourmet Food Tour & Skip-the-Line Louvre Guided Tour,Day trip,0,"207,187 per person",7 hours
Paris : Montmartre Audio Walking Tour and VR Experience,Other experience,0,"39,933 per person",2.5 hours
Paris: Luggage Delivery Service to Avignon & Aix en Provence,Transfer,0,"857,638 per person",1 day
Paris : Mission Anniversary Outdoor Game,Entry ticket,0,"58,681 per group up to 6",2.5 hours
Paris: City Exploration Game 'Peter Pan',Other experience,0,"37,601 per group up to 6",095 days
Paris: A Très Délicieux Food Tour in Charming Le Marais,Private tour,"
      3.6
    ","259,990 per person",3 hours
Paris: Montmartre Private Guided Walking Tour,Private tour,0,"247,511 per person",2 hours
From Paris: Monet Impressionism Tour to Giverny by Minibus,Private tour,"
      4.7
    ","1,805,555 per group up to 8",5 hours
Marais Walking Tour: Lifestyle in Paris,Guided tour,"
      5.0
    ","132,407 per person",2.5 hours
Paris: Funlympics Games in Montmartre,Guided tour,0,"58,681 per person",1 hour
Paris: The Alchemist City Exploration Smartphone Game,Other experience,0,"60,170 per group up to 6",095 days
Paris: Photography Class for Beginners,Private tour,0,"436,342 per group up to 1",3 hours
"Paris: City Tour Eiffel Tower, Musée d’Orsay & River Cruise",Bundle,"
      4.9
    ","284,375 per person",9 hours
Paris Walking Tour: The Art of Seduction in Montmartre,Guided tour,0,"109,838 per person",2 hours
Paris: Museum of the Art and History of Judaism Entry Ticket,Private tour,0,"302,430 per person",2 - 6 hours
Paris: Private Bike Tour of Old Town and Top Attractions,Private tour,0,"327,407 per person",2 - 6 hours
The Best Paris Foodie Tour,Guided tour,"
      4.0
    ","269,329 per person",2.5 hours
Paris: Guided Family Old Town Tour and Grévin Museum Ticket,Private tour,"
      4.4
    ","264,815 per person",2 - 3.5 hours
"Paris: ""Live, Laugh, Love along the Seine"" City Game",Other experience,"
      4.6
    ","10,517 per person",170 minutes
Paris: Covered Passages 2-Hour Scavenger Hunt,Private tour,"
      3.0
    ","662,037 per group up to 4",2 hours
Paris: Skip-the-Line Private 2-Hour Louvre Tour,Private tour,"
      4.8
    ","376,157 per person",2 hours
Private Wine and Cheese Tasting in Paris,Private tour,"
      5.0
    ","233,217 per person",2 hours
Paris: Vintage Shops Guided Tour,Guided tour,"
      5.0
    ","22,569 per person",1.5 hours
Paris: Bachelorette Party Scavenger Hunt Mobile Game,Other experience,0,"103,819 per group up to 6",2 hours
Paris: Outdoor Foxtrail Treasure Hunt Experience,Other experience,"
      4.5
    ","43,634 per person",2 hours
Paris: Private Food Tour in St. Germain,Private tour,0,"278,356 per person",3 hours
Versailles: Palace Trip by Motorcycle with Sidecar,Private tour,"
      5.0
    ","448,379 per person",3 - 7 hours
Paris: Private Skip-the-Lines Orsay and Louvre Museum Tour,Private tour,"
      5.0
    ","534,143 per person",5 hours
Paris: Hotel de la Marine Visit & Seine River Cruise,Other experience,0,"46,643 per person",2.5 - 4 hours
"Paris Combo: Bike Tour, Seine Cruise & Eiffel Tower Ticket",Day trip,"
      3.0
    ","164,005 per person",7 hours
Paris: Private Walking Tour with a Licensed Local Guide,Guided tour,"
      5.0
    ","341,551 per person",3 hours
Paris Private Full-Day Tour from Le Havre - Shore Ex.,Private tour,0,"1,956,018 per group up to 7",11 hours
From Disneyland Paris: Versailles and Paris Full-Day Tour,Other experience,0,"188,079 per person",1 day
Paris: Urban Art Murals Walking Tour with an Expert,Guided tour,"
      5.0
    ","52,662 per person",135 minutes
Paris: Tour de France Bike Ride,Guided tour,0,"97,801 per person",2 hours
Paris: Street Art Walking Tour with a Street Artist Guide,Guided tour,0,"37,465 per person",1.5 hours
"Paris: Eiffel Tower, Gardens and Palaces Self Guided Tour",Other experience,"
      3.0
    ","5,266 per person",365 days
Disneyland Paris: Bus Sightseeing Tour in Paris,Guided tour,"
      4.0
    ","148,958 per person",1 day
Paris: 3-Hour Interactive History Walking Tour,Private tour,"
      5.0
    ","646,990 per group up to 4",3 hours
Paris: Latin Quarter Historic Walking Tour,Guided tour,0,"120,370 per person",2 hours
Paris: Private Airport Transfer with Vintage Citroën DS 21,Transfer,0,"214,951 per group up to 4",1 hour
Paris: Round-Trip Coach Transfer from Paris to Disneyland,Transfer,"
      3.6
    ","67,708 per person",1 hour
Paris: Treasures of the Marais Walking Tour,Guided tour,0,"73,727 per person",2 hours
Paris: 90-Minute Boules Game in the Park,Private tour,"
      4.6
    ","312,963 per group up to 1",1.5 hours
Paris: 2.5-Hour Private City Highlights Kickstart Tour,Private tour,"
      3.8
    ","130,903 per person",2.5 hours
Paris: VIP Sainte-Chapelle and Conciergerie Guided Tour,Guided tour,"
      5.0
    ","224,190 per person",2.5 hours
Paris: Private Guided City Tour by Classic Convertible Car,Private tour,0,"284,375 per group up to 3",1.5 hours
Paris: Monmartre Highlights Self-Guided Audio Walking Tour,Other experience,"
      3.4
    ","14,971 per person",2 days
Paris: Seine Cruise and Eiffel Tower District Walking Tour,Bundle,"
      4.3
    ","39,256 per person",2 hours
Paris: City Highlights Private Electric Bike Tour with video,Private tour,0,"109,838 per person",2 hours
Paris: Photo Walk in Montmartre,Private tour,0,"737,268 per group up to 1",3 hours
Paris: Le Marais Food and Wine Walking Tour,Guided tour,0,"150,463 per person",3 hours
Paris: Private Guided Walking Tour of the City Center,Private tour,0,"361,111 per person",2.5 hours
Paris by Night Small Group Bike Tour & Boat Cruise,Water activity,"
      5.0
    ","103,819 per person",4.5 hours
Private tour Paris in Renault 4L electric,Private tour,"
      4.0
    ","332,523 per person",1.5 hours
Paris: Twilight Wine Tasting Walking Tour in Montmartre,Guided tour,"
      5.0
    ","150,463 per person",3 hours
Family Joy in Paris Walking Tour,Private tour,0,"886,226 per group up to 4",2 hours
Paris: Romantic Sidecar Tour by Night with Champagne,Private tour,"
      5.0
    ","609,721 per group up to 2",2 hours
"Paris: Parisian Picnic with Wine, Cheese and Local Insights",Guided tour,0,"88,773 per person",2 hours
Paris: City Exploration Game 'Secret of Paris',Other experience,0,"60,170 per group up to 6",095 days
From Le Havre: Versailles Day Trip and Private Tour,Private tour,0,"1,354,166 per group up to 6",11 hours
Paris: Premium Fitness Pass with Access to Top Gyms,City card,0,"33,989 per person",30 days
Paris : Airport transfer including City Highlights Tour,Private tour,0,"631,944 per group up to 3",4 hours
Paris: Highlights Bike Tour with Wine & Cheese Picnic,Day trip,0,"263,310 per person",6 hours
Paris Right Bank 2-Hour Private Walking Tour,Private tour,"
      5.0
    ","225,694 per person",2 hours
Paris: Private Guided Tour and Transfer to Airport,Private tour,0,"1,128,472 per group up to 6",3 - 6 hours
From Paris: Normandy Landing Beaches and D-Day Private Tour,Private tour,0,"2,369,790 per group up to 4",12 hours
Charles de Gaulle Airport: Private Airport Transfer to Paris,Transfer,0,"224,190 per group up to 3",1 hour
Paris: Private Transfer from CDG Airport to Disneyland,Transfer,0,"203,125 per group up to 3",40 minutes
Disneyland Paris and Versailles: Luggage Transfer from Paris,Transfer,0,"73,727 per person",1 day
Paris: France Flyover Virtual Reality Smartphone App & Audio,Water activity,0,"43,995 per person",2.5 hours
"Paris: ""Saving Marsupilami"" City Exploration Smartphone Game",Other experience,0,"37,601 per group up to 6",095 days
Magnificence on Every Corner - Paris Walking Tour,Private tour,0,"660,532 per group up to 4",2 hours
Paris: Left Bank Highlights Private Sidecar Tour,Private tour,0,"267,824 per person",2 hours
From Amsterdam: Private Transfer to Paris,Transfer,0,"3,310,183 per group up to 7",6.5 hours
Paris: Local Walking Tour in Montmartre with Panoramic View,Guided tour,0,"120,370 per person",2 hours
Paris: Private Transfer from CDG Airport to Disneyland,Transfer,"
      5.0
    ","284,375 per group up to 6",40 minutes
"Paris: Private, Tailor made, Guided Tour on Vintage Sidecar",Private tour,"
      5.0
    ","772,597 per person",3 hours
Paris: City Walk and Louvre Museum Tour,Guided tour,"
      5.0
    ","365,234 per person",5.5 hours
Paris: Montmartre Private Walking Tour,Private tour,"
      4.9
    ","225,694 per person",2 hours
Disneyland Paris: Private Transfer from or to CDG Airport,Transfer,"
      4.8
    ","127,893 per group up to 3",35 minutes
Private Treasure Hunt around Notre Dame for Families & Kids,Private tour,"
      5.0
    ","646,990 per group up to 4",2 hours
